name,minplayers,maxplayers,maxplaytime,minplaytime,yearpublished
PUSH,2,6,25,20,2018
QE,3,5,45,45,2019
Quacks,2,4,45,45,2018
Quadropolis,2,4,60,30,2016
The Quest for El Dorado,2,4,60,30,2017
Qwirkle,2,4,45,45,2006
Raccoon Tycoon: Deluxe Edition,2,6,120,30,2021
Race for the Galaxy,2,4,60,30,2007
Race to Adventure: The Spirit of the Century Exploration Game,2,5,20,20,2013
Raiders of the North Sea,2,4,80,60,2015
Railroad Revolution,2,4,90,45,2016
Rat-a-Tat Cat,2,6,10,10,1995
Rat-a-Tat Cat,2,6,10,10,1995
Rat-a-Tat Cat,2,6,10,10,1995
RattleSnake,2,4,15,15,2007
Ready Set Bet,2,9,60,45,2022
The Reckoners,1,6,100,60,2018
Red7,2,4,30,5,2014
Reef,2,4,45,30,2018
Relic Runners,2,5,80,40,2013
Rent a Hero,3,5,30,20,2012
Res Arcana,2,4,60,30,2019
The Resistance,5,10,30,30,2009
The Resistance,5,10,30,30,2009
The Resistance: Avalon,5,10,30,30,2012
Revolution!,3,4,60,60,2009
Ricochet Robots,1,99,30,30,1999
Riftforce,2,2,30,20,2021
Rise,2,4,60,60,2022
Rise of Augustus,2,6,30,30,2013
Rising 5: Runes of Asteros,1,5,30,30,2017
Risk,2,6,120,120,1959
Risk 2210 A.D.,2,5,240,240,2001
Risk: Star Wars Edition,2,4,45,30,2015
River of Gold,2,4,90,60,2024
River Valley Glassworks,1,5,45,25,2024
Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,2012
RoboRally,2,8,120,45,1994
Rococo,2,5,120,60,2013
Roll for the Galaxy,2,5,45,45,2014
Roll Player,1,4,90,60,2016
Roll Through the Ages: The Bronze Age,1,4,45,30,2008
Room 25,1,6,30,30,2013
Royals,2,5,60,60,2014
Rummikub,2,4,60,60,1977
"Run, Fight, or Die!",1,4,40,40,2014
Russian Railroads,2,4,120,120,2013
Saboteur,3,10,30,30,2004
Saboteur,3,10,30,30,2004
Sail to India,3,4,60,60,2013
Saint Malo,2,5,45,45,2012
Saint Petersburg,2,4,60,45,2004
Samurai,2,4,60,30,1998
San Juan,2,4,60,45,2004
Sanssouci,2,4,45,30,2013
Santa Maria,1,4,90,45,2017
Santo Domingo,2,6,30,20,2017
Santorini,2,4,20,20,2016
Say Anything,3,8,30,30,2008
Say Anything Family Edition,3,6,30,30,2011
Scotland Yard: Hunting Mister X,2,4,15,15,2019
Scythe,1,5,115,115,2016
Sea Salt & Paper,2,4,45,30,2022
Seasons,2,4,60,60,2012
Secret Hitler,5,10,45,45,2016
Sentinels of the Multiverse,2,5,60,30,2011
Sequence,2,12,30,10,1982
The Settlers of Catan,3,6,75,60,2008
Seven Dragons,2,5,30,10,2011
Shadow Hunters,4,8,60,60,2005
Shadowrift,1,6,120,45,2012
Shadowrun: Crossfire,1,4,60,30,2014
Shadows over Camelot,3,7,90,60,2005
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,1981
The Shipwreck Arcana,2,5,30,10,2017
Shogun,3,5,120,90,2006
Signorie,2,4,120,60,2015
Similo,2,8,15,10,2019
Skull,3,6,45,15,2011
Sleeping Queens,2,5,20,20,2005
Small World,2,5,80,40,2009
Small World Underground,2,5,90,30,2011
Smash Up,2,4,45,45,2012
Snake Oil: Elixir,3,8,30,30,2015
Sneaks & Snitches,2,5,20,20,2010
Snorta!,3,8,20,20,2004
So Clover!,3,6,30,30,2021
Sonora,1,4,45,30,2020
Space Base,2,5,60,60,2018
Specter Ops,2,5,120,60,2015
Spirit Island,1,4,120,90,2017
Spit It Out!,3,8,30,20,2015
Splendor,2,4,30,30,2014
Splendor Duel,2,2,30,30,2022
Spots,1,4,30,25,2022
Squint,3,8,30,30,2002
Star Realms,2,2,20,20,2014
Star Wars: Outer Rim,1,4,180,120,2019
Steam Time,2,4,90,90,2015
Steampunk Rally,2,8,60,45,2015
Stockpile,2,5,45,45,2015
Stone Age,2,4,90,60,2008
Strike,2,5,15,15,2012
Suburbia,1,4,90,60,2012
Survive: Escape from Atlantis!,2,4,60,45,1982
Sushi Go!,2,5,15,15,2013
Sushi Roll,2,5,20,20,2019
Sushi Roll!,3,8,10,10,2009
T.I.M.E Stories,2,4,90,90,2015
Taboo,4,10,20,20,1989
Tac Tac Jack,2,7,10,10,2008
Take 5,2,10,45,45,1994
Takenoko,2,4,45,45,2011
Tales & Games: The Hare & the Tortoise,2,5,20,15,2011
Tapple,2,10,30,30,2012
Targi,2,2,60,60,2012
Telestrations,4,8,30,30,2009
Tenpenny Parks,1,4,75,45,2022
Teotihuacan: City of Gods,1,4,120,90,2018
Terror Below,1,5,60,45,2019
Terror in Meeple City,2,4,30,30,2013
Terrorscape,2,4,45,30,2023
This Game Is Killer: Alien on Board,3,10,15,10,2024
Those Pesky Humans!,2,4,90,90,2009
Three Kingdoms Redux,3,3,165,135,2014
Thunderstone Advance: Towers of Ruin,1,5,45,45,2012
Thurn and Taxis,2,4,60,60,2006
Ticket to Ride,2,5,60,30,2004
Ticket to Ride: Europe,2,5,60,30,2005
Tides of Time,2,2,20,20,2015
Tiefe Taschen,4,8,50,20,2016
Tigris & Euphrates,2,4,120,60,1997
Tiki Topple,2,4,20,20,2008
Time's Up!,4,18,90,90,1999
Time's Up! Title Recall!,4,18,60,60,2008
Timeline: Events,2,8,15,15,2011
Timeline: Inventions,2,8,15,15,2010
Timeline: Music & Cinema,2,8,15,15,2013
Timeline: Science & Discoveries,2,8,15,15,2011
Tiny Epic Defenders,1,4,30,30,2015
Tiny Epic Galaxies,1,5,45,30,2015
Tobago,2,4,60,60,2009
Tofu Kingdom,3,8,30,10,2015
Tokaido,1,5,45,45,2012
Torres,2,4,60,60,1999
Tournay,2,4,60,30,2011
Trekking Through History,1,4,60,30,2022
Tribes: Dawn of Humanity,2,4,45,45,2018
Trio,3,6,15,15,2021
Truffle Shuffle,2,4,30,15,2020
Tumult Royale,2,4,40,40,2015
Tutankhamun,2,6,30,30,2021
Twister,2,4,10,10,1966
Uglydoll Card Game,2,6,15,15,2006
Ultimate Werewolf: Deluxe Edition,5,75,30,30,2014
Undermining,2,5,45,45,2011
Unlock!: Exotic Adventures,1,6,90,60,2018
Unlock!: Extraordinary Adventures,1,6,90,60,2022
Unlock!: Game Adventures,1,6,60,30,2021
Unlock!: Heroic Adventures,1,6,60,60,2018
Unlock!: Legendary Adventures,1,6,60,60,2021
Unlock!: Secret Adventures,1,6,60,60,2017
UNO Stacko,2,10,20,20,1994
Unusual Suspects,3,16,20,20,2015
The Vale of Eternity,2,4,45,30,2023
Vault Wars,3,5,60,45,2015
Il Vecchio,2,4,60,60,2012
Via Nebula,2,4,60,45,2016
Viceroy,1,4,60,45,2014
Village Pillage,2,5,20,20,2019
Vindication,2,5,150,45,2018
Viticulture,2,6,90,90,2013
VivaJava: The Coffee Game: The Dice Game,1,4,40,20,2014
The Voyages of Marco Polo,2,4,100,40,2015
Warsaw: City of Ruins,2,4,60,60,2016
Wasteland Express Delivery Service,2,5,120,90,2017
Welcome to the Dungeon,2,4,30,30,2013
Werewords,4,10,10,10,2017
Wheel of Fortune,2,4,60,60,1975
Whitehall Mystery,2,4,60,45,2017
Wild Space,1,5,40,15,2020
Wingspan,1,5,70,40,2019
WINK,3,8,20,20,1994
Wits & Wagers,3,7,25,25,2005
Wok and Roll,1,5,45,30,2020
Word Slam,3,99,45,45,2016
Word Slam,3,99,45,45,2016
World of Yo-Ho,2,4,90,45,2016
World Wonders,1,5,70,50,2023
World's Fair 1893,2,4,45,35,2016
Wreck Raiders,1,5,45,45,2019
Wreckage,2,4,45,45,2003
XenoShyft: Onslaught,1,4,60,30,2015
Yamatai,2,4,80,40,2017
Yardmaster,2,5,20,20,2014
Yedo,2,5,180,120,2012
You Robot,4,10,20,20,2009
Zendo,2,6,60,15,2001
Zeus on the Loose,2,5,15,15,2006
Zombie Fluxx,2,6,40,10,2007
Zooloretto,2,5,45,45,2007
